id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
5x3ULItJf0Sc3SDEwCDhyS,Heartless,Heartless,"1800 Moe, James Perry, Whohurttribe",True,18,0.804,0.482,8,-10.412,0,0.0827,0.458,0.0,0.118,0.766,122.067,audio_features,spotify:track:5x3ULItJf0Sc3SDEwCDhyS,https://api.spotify.com/v1/tracks/5x3ULItJf0Sc3SDEwCDhyS,https://api.spotify.com/v1/audio-analysis/5x3ULItJf0Sc3SDEwCDhyS,2.3653833333333334,4
0RlTvZ5sY9Xm1gADMy80HE,Remedy,Remedy,Ret,False,24,0.644,0.465,9,-10.936,1,0.0278,0.616,0.0,0.0947,0.326,78.04,audio_features,spotify:track:0RlTvZ5sY9Xm1gADMy80HE,https://api.spotify.com/v1/tracks/0RlTvZ5sY9Xm1gADMy80HE,https://api.spotify.com/v1/audio-analysis/0RlTvZ5sY9Xm1gADMy80HE,3.7318,4
62lB707byMVOfjogtOViWy,Gentle Rainfall,Gentle Rainfall,Weston Brown,False,24,0.357,0.0189,0,-22.417,1,0.0348,0.971,0.861,0.0905,0.0359,100.692,audio_features,spotify:track:62lB707byMVOfjogtOViWy,https://api.spotify.com/v1/tracks/62lB707byMVOfjogtOViWy,https://api.spotify.com/v1/audio-analysis/62lB707byMVOfjogtOViWy,9.87385,4
321hYEYHRkLhcXW1NXLQej,Fly,Fly,Paradise Circus,False,23,0.272,0.842,2,-5.448,1,0.0504,0.0106,3.03e-05,0.136,0.358,124.01,audio_features,spotify:track:321hYEYHRkLhcXW1NXLQej,https://api.spotify.com/v1/tracks/321hYEYHRkLhcXW1NXLQej,https://api.spotify.com/v1/audio-analysis/321hYEYHRkLhcXW1NXLQej,4.516066666666666,4
30vFUzWta7a5KETvZC9nKH,Soothing Ocean Waves for Relaxing and Sleeping,By The Beach,Calm Waves,False,19,0.201,0.929,8,-28.068,1,0.0509,0.86,0.986,0.204,1e-05,75.946,audio_features,spotify:track:30vFUzWta7a5KETvZC9nKH,https://api.spotify.com/v1/tracks/30vFUzWta7a5KETvZC9nKH,https://api.spotify.com/v1/audio-analysis/30vFUzWta7a5KETvZC9nKH,1.0727333333333333,1
6aeW0EozvKipLJIX4qgijC,Sakura,Birth Of A New Era,PsychCloned,False,10,0.517,0.58,1,-10.326,1,0.031,0.201,0.877,0.153,0.291,104.955,audio_features,spotify:track:6aeW0EozvKipLJIX4qgijC,https://api.spotify.com/v1/tracks/6aeW0EozvKipLJIX4qgijC,https://api.spotify.com/v1/audio-analysis/6aeW0EozvKipLJIX4qgijC,7.4,4
1hmz5WE2miJrFMbr3M48IR,Strings Recital,Timeless Lament,The Restful Moment,False,13,0.136,0.221,0,-15.625,1,0.036,0.945,0.764,0.0914,0.135,142.342,audio_features,spotify:track:1hmz5WE2miJrFMbr3M48IR,https://api.spotify.com/v1/tracks/1hmz5WE2miJrFMbr3M48IR,https://api.spotify.com/v1/audio-analysis/1hmz5WE2miJrFMbr3M48IR,1.2290666666666668,4
0Jctz9Cx4WaiUDsuW4obAh,Safety,Safety,N.E. Thing,False,3,0.592,0.78,8,-5.941,1,0.0598,0.0418,0.0,0.0583,0.423,86.6,audio_features,spotify:track:0Jctz9Cx4WaiUDsuW4obAh,https://api.spotify.com/v1/tracks/0Jctz9Cx4WaiUDsuW4obAh,https://api.spotify.com/v1/audio-analysis/0Jctz9Cx4WaiUDsuW4obAh,2.8804166666666666,4
6WR3JcdZzI68ew6wbpQGkn,Heartbeat,Sentient,Gruber,False,5,0.186,0.242,11,-17.882,1,0.0332,0.0715,0.838,0.118,0.0699,66.853,audio_features,spotify:track:6WR3JcdZzI68ew6wbpQGkn,https://api.spotify.com/v1/tracks/6WR3JcdZzI68ew6wbpQGkn,https://api.spotify.com/v1/audio-analysis/6WR3JcdZzI68ew6wbpQGkn,3.12235,3
3zRDaB8yG4CiRWyCX0SIQr,You Better Run! (Villains Theme),You Better Run! (Villains Theme),Dirty Mitts,False,40,0.381,0.764,1,-13.72,0,0.0618,0.000685,0.0306,0.322,0.392,170.167,audio_features,spotify:track:3zRDaB8yG4CiRWyCX0SIQr,https://api.spotify.com/v1/tracks/3zRDaB8yG4CiRWyCX0SIQr,https://api.spotify.com/v1/audio-analysis/3zRDaB8yG4CiRWyCX0SIQr,3.0214,4
