id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
3KunPHIvhxrUaHny2Z1J9w,3 Am. Study Session,Glowing Lights,No Spirit,False,57,0.332,0.258,10,-15.761,1,0.0375,0.915,0.91,0.102,0.0393,143.656,audio_features,spotify:track:3KunPHIvhxrUaHny2Z1J9w,https://api.spotify.com/v1/tracks/3KunPHIvhxrUaHny2Z1J9w,https://api.spotify.com/v1/audio-analysis/3KunPHIvhxrUaHny2Z1J9w,2.7638833333333332,4
3R842HhIJd4VysNmcRApE0,3 Am. Study Session,Fireflies,"Kanisan, frad",False,57,0.651,0.125,5,-20.281,0,0.0309,0.809,0.925,0.112,0.0371,78.015,audio_features,spotify:track:3R842HhIJd4VysNmcRApE0,https://api.spotify.com/v1/tracks/3R842HhIJd4VysNmcRApE0,https://api.spotify.com/v1/audio-analysis/3R842HhIJd4VysNmcRApE0,2.051283333333333,4
1cxeBDBw3933DUxplLIx5C,3 Am. Study Session,Recharge,Yasumu,False,57,0.505,0.189,4,-14.251,0,0.0376,0.567,0.696,0.282,0.0707,179.868,audio_features,spotify:track:1cxeBDBw3933DUxplLIx5C,https://api.spotify.com/v1/tracks/1cxeBDBw3933DUxplLIx5C,https://api.spotify.com/v1/audio-analysis/1cxeBDBw3933DUxplLIx5C,2.4972166666666666,4
1aqrsxKU14u8mwuB5BWaAE,Aeolia,Floating Island,Dimension 32,False,58,0.341,0.0721,1,-19.768,0,0.0292,0.993,0.92,0.101,0.0502,64.398,audio_features,spotify:track:1aqrsxKU14u8mwuB5BWaAE,https://api.spotify.com/v1/tracks/1aqrsxKU14u8mwuB5BWaAE,https://api.spotify.com/v1/audio-analysis/1aqrsxKU14u8mwuB5BWaAE,2.9570666666666665,4
06t1z3z46o6Jag7jm3SjG1,Aeolia,Plume,"Dimension 32, Hevi",False,56,0.501,0.0706,5,-24.082,1,0.0383,0.926,0.945,0.0999,0.0376,90.004,audio_features,spotify:track:06t1z3z46o6Jag7jm3SjG1,https://api.spotify.com/v1/tracks/06t1z3z46o6Jag7jm3SjG1,https://api.spotify.com/v1/audio-analysis/06t1z3z46o6Jag7jm3SjG1,2.93045,4
5zZY5LXTgeTmuPMR0bTgJW,Afloat Again,Epilogue,"mell-ø, Ambulo",False,0,0.535,0.0843,9,-23.232,1,0.0534,0.991,0.899,0.096,0.268,71.992,audio_features,spotify:track:5zZY5LXTgeTmuPMR0bTgJW,https://api.spotify.com/v1/tracks/5zZY5LXTgeTmuPMR0bTgJW,https://api.spotify.com/v1/audio-analysis/5zZY5LXTgeTmuPMR0bTgJW,0.8333333333333334,4
2OnGksCpCNGhzkU1Y4vUjR,After The Rain,A Wave In The Ocean,Laffey,False,55,0.6,0.284,3,-16.938,1,0.0625,0.973,0.931,0.112,0.192,120.026,audio_features,spotify:track:2OnGksCpCNGhzkU1Y4vUjR,https://api.spotify.com/v1/tracks/2OnGksCpCNGhzkU1Y4vUjR,https://api.spotify.com/v1/audio-analysis/2OnGksCpCNGhzkU1Y4vUjR,2.67725,4
1vmwRpAhqOL7YvKbnSqROt,After The Rain,Skipping Rocks,Laffey,False,56,0.851,0.334,11,-14.629,1,0.0348,0.846,0.917,0.115,0.25,135.99,audio_features,spotify:track:1vmwRpAhqOL7YvKbnSqROt,https://api.spotify.com/v1/tracks/1vmwRpAhqOL7YvKbnSqROt,https://api.spotify.com/v1/audio-analysis/1vmwRpAhqOL7YvKbnSqROt,2.1236166666666665,4
2mT9D5x506IrxZUCMgZmz5,Ages Ago,C U in Class!,"Flovry, tender spring",False,0,0.65,0.235,7,-16.627,1,0.0342,0.884,0.71,0.146,0.0616,62.847,audio_features,spotify:track:2mT9D5x506IrxZUCMgZmz5,https://api.spotify.com/v1/tracks/2mT9D5x506IrxZUCMgZmz5,https://api.spotify.com/v1/audio-analysis/2mT9D5x506IrxZUCMgZmz5,2.8381166666666666,4
7tYIZwtQh934BkuvteWU7a,Angelic,Lilac,Kainbeats,False,60,0.741,0.15,8,-16.694,1,0.0593,0.903,0.869,0.117,0.131,69.998,audio_features,spotify:track:7tYIZwtQh934BkuvteWU7a,https://api.spotify.com/v1/tracks/7tYIZwtQh934BkuvteWU7a,https://api.spotify.com/v1/audio-analysis/7tYIZwtQh934BkuvteWU7a,2.1266666666666665,4
