id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
6gBFPUFcJLzWGx4lenP6h2,Birds In The Trap Sing McKnight,goosebumps,Travis Scott,True,87,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,audio_features,spotify:track:6gBFPUFcJLzWGx4lenP6h2,https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2,https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2,4.06395,4
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,Travis Scott,True,85,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,audio_features,spotify:track:3eekarcy7kvN4yt5ZFzltW,https://api.spotify.com/v1/tracks/3eekarcy7kvN4yt5ZFzltW,https://api.spotify.com/v1/audio-analysis/3eekarcy7kvN4yt5ZFzltW,2.9286833333333333,4
2xLMifQCjDGFmkHkpNLD9h,ASTROWORLD,SICKO MODE,Travis Scott,True,85,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,audio_features,spotify:track:2xLMifQCjDGFmkHkpNLD9h,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,5.213666666666667,4
1K5KBOgreBi5fkEHvg5ap3,High Off Life,Life Is Good (feat. Drake),"Future, Drake",True,75,0.795,0.574,2,-6.903,0,0.487,0.067,0.0,0.15,0.537,142.053,audio_features,spotify:track:1K5KBOgreBi5fkEHvg5ap3,https://api.spotify.com/v1/tracks/1K5KBOgreBi5fkEHvg5ap3,https://api.spotify.com/v1/audio-analysis/1K5KBOgreBi5fkEHvg5ap3,3.9653,4
39Yp9wwQiSRIDOvrVg7mbk,THE SCOTTS,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",True,78,0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.979,audio_features,spotify:track:39Yp9wwQiSRIDOvrVg7mbk,https://api.spotify.com/v1/tracks/39Yp9wwQiSRIDOvrVg7mbk,https://api.spotify.com/v1/audio-analysis/39Yp9wwQiSRIDOvrVg7mbk,2.7663,4
40iJIUlhi6renaREYGeIDS,Certified Lover Boy,Fair Trade (with Travis Scott),"Drake, Travis Scott",True,87,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937,audio_features,spotify:track:40iJIUlhi6renaREYGeIDS,https://api.spotify.com/v1/tracks/40iJIUlhi6renaREYGeIDS,https://api.spotify.com/v1/audio-analysis/40iJIUlhi6renaREYGeIDS,4.852916666666666,4
6DCZcSspjsKoFjzjrWoCdn,Scorpion,God's Plan,Drake,True,87,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,audio_features,spotify:track:6DCZcSspjsKoFjzjrWoCdn,https://api.spotify.com/v1/tracks/6DCZcSspjsKoFjzjrWoCdn,https://api.spotify.com/v1/audio-analysis/6DCZcSspjsKoFjzjrWoCdn,3.3162166666666666,4
60PTOzcoFycWBICdumIsFQ,RED & WHITE,FOR FUN,Lil Uzi Vert,True,68,0.775,0.461,7,-6.594,0,0.124,0.157,0.0,0.0687,0.131,134.028,audio_features,spotify:track:60PTOzcoFycWBICdumIsFQ,https://api.spotify.com/v1/tracks/60PTOzcoFycWBICdumIsFQ,https://api.spotify.com/v1/audio-analysis/60PTOzcoFycWBICdumIsFQ,3.134333333333333,4
1OKvqRUG3QbaqLWGn7bhzF,Konvicted (Complete Edition),I Wanna Love You,"Akon, Snoop Dogg",True,65,0.863,0.501,9,-8.753,0,0.0433,0.0164,0.0,0.272,0.357,99.994,audio_features,spotify:track:1OKvqRUG3QbaqLWGn7bhzF,https://api.spotify.com/v1/tracks/1OKvqRUG3QbaqLWGn7bhzF,https://api.spotify.com/v1/audio-analysis/1OKvqRUG3QbaqLWGn7bhzF,4.11275,4
68Dni7IE4VyPkTOH9mRWHr,2014 Forest Hills Drive,No Role Modelz,J. Cole,True,91,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,audio_features,spotify:track:68Dni7IE4VyPkTOH9mRWHr,https://api.spotify.com/v1/tracks/68Dni7IE4VyPkTOH9mRWHr,https://api.spotify.com/v1/audio-analysis/68Dni7IE4VyPkTOH9mRWHr,4.879983333333334,4
