id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
2SiXAy7TuUkycRVbbWDEpo,Back In Black,You Shook Me All Night Long,AC/DC,False,84,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,audio_features,spotify:track:2SiXAy7TuUkycRVbbWDEpo,https://api.spotify.com/v1/tracks/2SiXAy7TuUkycRVbbWDEpo,https://api.spotify.com/v1/audio-analysis/2SiXAy7TuUkycRVbbWDEpo,3.502883333333333,4
5NIPsWpDjJTFBoPxCUUeXp,Appetite For Destruction,Welcome To The Jungle,Guns N' Roses,False,0,0.445,0.955,8,-8.027,1,0.0856,0.0326,0.284,0.317,0.336,123.343,audio_features,spotify:track:5NIPsWpDjJTFBoPxCUUeXp,https://api.spotify.com/v1/tracks/5NIPsWpDjJTFBoPxCUUeXp,https://api.spotify.com/v1/audio-analysis/5NIPsWpDjJTFBoPxCUUeXp,4.56,4
0PdM2a6oIjqepoEfcJo0RO,Hysteria (Super Deluxe),Pour Some Sugar On Me - Remastered 2017,Def Leppard,False,78,0.267,0.953,1,-4.899,0,0.096,0.00211,0.0,0.283,0.568,84.989,audio_features,spotify:track:0PdM2a6oIjqepoEfcJo0RO,https://api.spotify.com/v1/tracks/0PdM2a6oIjqepoEfcJo0RO,https://api.spotify.com/v1/audio-analysis/0PdM2a6oIjqepoEfcJo0RO,4.455116666666667,4
7N3PAbqfTjSEU1edb2tY8j,1984 (Remastered),Jump - 2015 Remaster,Van Halen,False,82,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981,audio_features,spotify:track:7N3PAbqfTjSEU1edb2tY8j,https://api.spotify.com/v1/tracks/7N3PAbqfTjSEU1edb2tY8j,https://api.spotify.com/v1/audio-analysis/7N3PAbqfTjSEU1edb2tY8j,4.026666666666666,4
57JVGBtBLCfHw2muk5416J,The Game (Deluxe Remastered Version),Another One Bites The Dust - Remastered 2011,Queen,False,76,0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975,audio_features,spotify:track:57JVGBtBLCfHw2muk5416J,https://api.spotify.com/v1/tracks/57JVGBtBLCfHw2muk5416J,https://api.spotify.com/v1/audio-analysis/57JVGBtBLCfHw2muk5416J,3.57755,4
2sXp9Qmvc7mRaDBjBgcGGi,Synchronicity,Every Breath You Take - Remastered 2003,The Police,False,0,0.813,0.46,1,-9.78,1,0.0346,0.56,0.0105,0.0724,0.729,117.387,audio_features,spotify:track:2sXp9Qmvc7mRaDBjBgcGGi,https://api.spotify.com/v1/tracks/2sXp9Qmvc7mRaDBjBgcGGi,https://api.spotify.com/v1/audio-analysis/2sXp9Qmvc7mRaDBjBgcGGi,4.23145,4
39shmbIHICJ2Wxnk1fPSdz,Combat Rock (Remastered),Should I Stay or Should I Go - Remastered,The Clash,False,81,0.743,0.836,2,-6.465,1,0.116,0.0804,0.0,0.384,0.82,113.375,audio_features,spotify:track:39shmbIHICJ2Wxnk1fPSdz,https://api.spotify.com/v1/tracks/39shmbIHICJ2Wxnk1fPSdz,https://api.spotify.com/v1/audio-analysis/39shmbIHICJ2Wxnk1fPSdz,3.149783333333333,4
7qQnBfwXrw2tZNFG4Uf57N,Bon Jovi Greatest Hits,Livin' On A Prayer,Bon Jovi,False,0,0.52,0.887,0,-3.296,1,0.0349,0.0665,0.000179,0.186,0.793,122.528,audio_features,spotify:track:7qQnBfwXrw2tZNFG4Uf57N,https://api.spotify.com/v1/tracks/7qQnBfwXrw2tZNFG4Uf57N,https://api.spotify.com/v1/audio-analysis/7qQnBfwXrw2tZNFG4Uf57N,4.177116666666667,4
2ZSCy3P1QzpJySCWA6NRIU,Dynasty (Remastered Version),I Was Made For Lovin' You,KISS,False,6,0.768,0.852,4,-6.215,1,0.038,0.213,7.45e-05,0.0723,0.867,128.374,audio_features,spotify:track:2ZSCy3P1QzpJySCWA6NRIU,https://api.spotify.com/v1/tracks/2ZSCy3P1QzpJySCWA6NRIU,https://api.spotify.com/v1/audio-analysis/2ZSCy3P1QzpJySCWA6NRIU,4.520666666666667,4
0XIvZ82aDF7JiSi3ZE320u,Love At First Sting,Rock You Like A Hurricane,Scorpions,False,0,0.482,0.601,7,-12.846,1,0.0486,0.00853,0.000187,0.249,0.774,125.619,audio_features,spotify:track:0XIvZ82aDF7JiSi3ZE320u,https://api.spotify.com/v1/tracks/0XIvZ82aDF7JiSi3ZE320u,https://api.spotify.com/v1/audio-analysis/0XIvZ82aDF7JiSi3ZE320u,4.208216666666667,4
