id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
06k7pCqz4QdSYPnzmAA3GE,My Way,My Way,Federico Rosa,False,15,0.657,0.966,0,-5.837,0,0.0396,0.00173,0.965,0.122,0.616,126.023,audio_features,spotify:track:06k7pCqz4QdSYPnzmAA3GE,https://api.spotify.com/v1/tracks/06k7pCqz4QdSYPnzmAA3GE,https://api.spotify.com/v1/audio-analysis/06k7pCqz4QdSYPnzmAA3GE,3.1548333333333334,4
0ofNMK6WLP0PeUWKSNNWqA,Contagious,Contagious,AJ Christou,False,17,0.803,0.808,2,-9.213,1,0.0577,8.09e-05,0.913,0.0895,0.523,128.983,audio_features,spotify:track:0ofNMK6WLP0PeUWKSNNWqA,https://api.spotify.com/v1/tracks/0ofNMK6WLP0PeUWKSNNWqA,https://api.spotify.com/v1/audio-analysis/0ofNMK6WLP0PeUWKSNNWqA,7.1938,4
2xXsqeA36gfrwJuTbsCtnw,Secrets,Secrets,"Hux & Thin, Galo Azin",False,10,0.751,0.952,1,-7.304,1,0.0585,0.00108,0.745,0.317,0.878,124.998,audio_features,spotify:track:2xXsqeA36gfrwJuTbsCtnw,https://api.spotify.com/v1/tracks/2xXsqeA36gfrwJuTbsCtnw,https://api.spotify.com/v1/audio-analysis/2xXsqeA36gfrwJuTbsCtnw,2.877,4
4J45jR36PsGAnwN4HDvxFW,Biday,Biday - Edit,Shaf Huse,False,14,0.831,0.923,0,-7.947,1,0.0463,0.000884,0.481,0.0282,0.646,125.999,audio_features,spotify:track:4J45jR36PsGAnwN4HDvxFW,https://api.spotify.com/v1/tracks/4J45jR36PsGAnwN4HDvxFW,https://api.spotify.com/v1/audio-analysis/4J45jR36PsGAnwN4HDvxFW,3.8222833333333335,4
3yK3o9ipt4hyTQwip5sPXy,Lemonade,Lemonade,Niko The Kid,False,30,0.765,0.867,11,-6.666,0,0.077,0.0646,0.806,0.176,0.655,123.041,audio_features,spotify:track:3yK3o9ipt4hyTQwip5sPXy,https://api.spotify.com/v1/tracks/3yK3o9ipt4hyTQwip5sPXy,https://api.spotify.com/v1/audio-analysis/3yK3o9ipt4hyTQwip5sPXy,3.0751333333333335,4
0Uo3ri0yFn2iUh2c3Z54uO,Organ Belta,Organ Belta,Jamie Roy,False,39,0.806,0.981,11,-6.689,0,0.0646,0.00586,0.863,0.0512,0.914,128.0,audio_features,spotify:track:0Uo3ri0yFn2iUh2c3Z54uO,https://api.spotify.com/v1/tracks/0Uo3ri0yFn2iUh2c3Z54uO,https://api.spotify.com/v1/audio-analysis/0Uo3ri0yFn2iUh2c3Z54uO,6.001283333333333,4
30DxiNsQtulj3wnwQjUKkQ,Excuse My French EP & WLAD remix,Singularity - WLAD Remix,"Sidney Charles, Wlad",False,2,0.797,0.952,7,-8.292,1,0.0644,0.0013,0.886,0.051,0.766,128.992,audio_features,spotify:track:30DxiNsQtulj3wnwQjUKkQ,https://api.spotify.com/v1/tracks/30DxiNsQtulj3wnwQjUKkQ,https://api.spotify.com/v1/audio-analysis/30DxiNsQtulj3wnwQjUKkQ,6.4629,4
69Pa5tHaCgkwe55V5SShOy,Smoke My Blunt,Smoke My Blunt,Yungness & Jaminn,False,3,0.77,0.928,4,-8.319,0,0.115,0.00508,0.744,0.087,0.447,129.985,audio_features,spotify:track:69Pa5tHaCgkwe55V5SShOy,https://api.spotify.com/v1/tracks/69Pa5tHaCgkwe55V5SShOy,https://api.spotify.com/v1/audio-analysis/69Pa5tHaCgkwe55V5SShOy,6.9,4
0TkVdnpKwJHWOUUsvtlOtk,Trippin',Trippin',Carter,False,1,0.86,0.933,0,-3.906,1,0.0595,0.000307,0.359,0.0925,0.572,126.004,audio_features,spotify:track:0TkVdnpKwJHWOUUsvtlOtk,https://api.spotify.com/v1/tracks/0TkVdnpKwJHWOUUsvtlOtk,https://api.spotify.com/v1/audio-analysis/0TkVdnpKwJHWOUUsvtlOtk,4.372583333333333,4
2wDkyB3RylOwfipVByUAf2,Spanish Mode,Spanish Mode,Paskman,False,27,0.808,0.933,0,-8.527,1,0.0662,0.000637,0.298,0.0498,0.733,127.015,audio_features,spotify:track:2wDkyB3RylOwfipVByUAf2,https://api.spotify.com/v1/tracks/2wDkyB3RylOwfipVByUAf2,https://api.spotify.com/v1/audio-analysis/2wDkyB3RylOwfipVByUAf2,7.0867,4
13Ct5IHVySzdiAqSm27bZz,Free Your Mind,Free Your Mind - Radio Edit,Brent Betit,False,5,0.813,0.91,1,-5.663,0,0.0672,0.0035,0.426,0.0703,0.472,124.944,audio_features,spotify:track:13Ct5IHVySzdiAqSm27bZz,https://api.spotify.com/v1/tracks/13Ct5IHVySzdiAqSm27bZz,https://api.spotify.com/v1/audio-analysis/13Ct5IHVySzdiAqSm27bZz,3.1666666666666665,4
3M1BOwgibzAwA9d4bZORlp,Chit Chat EP,Chit Chat,Milion (NL),False,13,0.782,0.787,1,-9.946,1,0.127,0.00134,0.881,0.0773,0.72,128.033,audio_features,spotify:track:3M1BOwgibzAwA9d4bZORlp,https://api.spotify.com/v1/tracks/3M1BOwgibzAwA9d4bZORlp,https://api.spotify.com/v1/audio-analysis/3M1BOwgibzAwA9d4bZORlp,6.283333333333333,4
20mBdAJHcJlHsG6aaM6UIe,Move Your Body,Move Your Body - Radio Edit,Alto,False,2,0.794,0.796,9,-8.473,1,0.0532,0.00517,0.481,0.0732,0.506,127.056,audio_features,spotify:track:20mBdAJHcJlHsG6aaM6UIe,https://api.spotify.com/v1/tracks/20mBdAJHcJlHsG6aaM6UIe,https://api.spotify.com/v1/audio-analysis/20mBdAJHcJlHsG6aaM6UIe,3.023616666666667,4
5qvE6RC6vV9Y3bmVL535v6,Bring A Friend,Bring A Friend,Hood Rich,False,40,0.81,0.865,3,-4.905,1,0.0992,0.0295,0.847,0.594,0.852,126.009,audio_features,spotify:track:5qvE6RC6vV9Y3bmVL535v6,https://api.spotify.com/v1/tracks/5qvE6RC6vV9Y3bmVL535v6,https://api.spotify.com/v1/audio-analysis/5qvE6RC6vV9Y3bmVL535v6,3.2311833333333335,4
5S8cqMnTVUV3f5JiTjpMl4,Who Said That,What Is This,James Dexter,False,25,0.814,0.841,7,-10.652,1,0.132,0.000143,0.788,0.0901,0.714,123.011,audio_features,spotify:track:5S8cqMnTVUV3f5JiTjpMl4,https://api.spotify.com/v1/tracks/5S8cqMnTVUV3f5JiTjpMl4,https://api.spotify.com/v1/audio-analysis/5S8cqMnTVUV3f5JiTjpMl4,6.833333333333333,4
351BGS9dxj6lLSSm3e5mzk,Area 51,Area 51,James Dexter,False,7,0.8,0.654,1,-9.146,1,0.0634,0.000472,0.889,0.103,0.232,117.01,audio_features,spotify:track:351BGS9dxj6lLSSm3e5mzk,https://api.spotify.com/v1/tracks/351BGS9dxj6lLSSm3e5mzk,https://api.spotify.com/v1/audio-analysis/351BGS9dxj6lLSSm3e5mzk,8.065283333333333,4
5VOxs6X2qCyR0TBLHc1TtU,The Wasteline EP,Instate - Original Mix,Rich NxT,False,15,0.812,0.71,11,-8.917,0,0.0475,6.82e-05,0.91,0.463,0.708,123.991,audio_features,spotify:track:5VOxs6X2qCyR0TBLHc1TtU,https://api.spotify.com/v1/tracks/5VOxs6X2qCyR0TBLHc1TtU,https://api.spotify.com/v1/audio-analysis/5VOxs6X2qCyR0TBLHc1TtU,6.012283333333333,4
0sRMNgFGTEwi86U2NcIwxY,Rotate,Rotate,Benjermain,False,7,0.857,0.772,9,-7.866,0,0.0866,0.0015,0.875,0.0238,0.791,126.997,audio_features,spotify:track:0sRMNgFGTEwi86U2NcIwxY,https://api.spotify.com/v1/tracks/0sRMNgFGTEwi86U2NcIwxY,https://api.spotify.com/v1/audio-analysis/0sRMNgFGTEwi86U2NcIwxY,5.812,4
5nocOm44fKwcQmiyyvECZB,O La,O La,Wheats,False,10,0.829,0.592,5,-9.312,0,0.0664,0.0521,0.759,0.116,0.709,127.992,audio_features,spotify:track:5nocOm44fKwcQmiyyvECZB,https://api.spotify.com/v1/tracks/5nocOm44fKwcQmiyyvECZB,https://api.spotify.com/v1/audio-analysis/5nocOm44fKwcQmiyyvECZB,7.0164,4
4Y3HI6j1kghGlcY8bg6kvu,Kosmos EP,Dance With Me,"Eskuche, Legit Trip",False,3,0.808,0.901,6,-11.317,0,0.0651,0.0136,0.872,0.0367,0.644,127.002,audio_features,spotify:track:4Y3HI6j1kghGlcY8bg6kvu,https://api.spotify.com/v1/tracks/4Y3HI6j1kghGlcY8bg6kvu,https://api.spotify.com/v1/audio-analysis/4Y3HI6j1kghGlcY8bg6kvu,6.04725,4
4ExeeYTxC48e3sAKS0Nd2Q,Dumb Fat Joints Vol. 1,Party Ppl,"Sage Armstrong, BOT",False,29,0.806,0.706,7,-9.098,1,0.0514,4.42e-05,0.766,0.0731,0.32,126.002,audio_features,spotify:track:4ExeeYTxC48e3sAKS0Nd2Q,https://api.spotify.com/v1/tracks/4ExeeYTxC48e3sAKS0Nd2Q,https://api.spotify.com/v1/audio-analysis/4ExeeYTxC48e3sAKS0Nd2Q,4.1269833333333334,4
7vp6sra1FqF2VK6hRUPJRo,My Dimension,My Dimension,Gabe,False,41,0.872,0.564,9,-9.078,1,0.158,0.045,0.405,0.127,0.22,126.979,audio_features,spotify:track:7vp6sra1FqF2VK6hRUPJRo,https://api.spotify.com/v1/tracks/7vp6sra1FqF2VK6hRUPJRo,https://api.spotify.com/v1/audio-analysis/7vp6sra1FqF2VK6hRUPJRo,2.5196833333333335,4
6yTAycvx2hDqGYerNaphfI,Hott Boyz,Guud Gurls,"Breaking Beattz, Kzn",False,49,0.913,0.768,6,-7.451,0,0.103,0.0857,0.727,0.104,0.107,126.009,audio_features,spotify:track:6yTAycvx2hDqGYerNaphfI,https://api.spotify.com/v1/tracks/6yTAycvx2hDqGYerNaphfI,https://api.spotify.com/v1/audio-analysis/6yTAycvx2hDqGYerNaphfI,3.1746,4
