id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
4KIWzSOgtyUplm6kAvt8Yw,March of the Forest Cat,March of the Forest Cat,Lane 8,False,33,0.864,0.582,8,-10.279,1,0.199,0.429,0.901,0.0998,0.341,124.022,audio_features,spotify:track:4KIWzSOgtyUplm6kAvt8Yw,https://api.spotify.com/v1/tracks/4KIWzSOgtyUplm6kAvt8Yw,https://api.spotify.com/v1/audio-analysis/4KIWzSOgtyUplm6kAvt8Yw,5.2258,4
6mjN72fXeZwLkCDG7rHH3N,Morning Falls EP,After Earth - Edit,Ben Böhmer,False,54,0.595,0.54,5,-10.477,1,0.0347,0.0367,0.903,0.122,0.226,123.0,audio_features,spotify:track:6mjN72fXeZwLkCDG7rHH3N,https://api.spotify.com/v1/tracks/6mjN72fXeZwLkCDG7rHH3N,https://api.spotify.com/v1/audio-analysis/6mjN72fXeZwLkCDG7rHH3N,3.9734333333333334,4
6FbEGBOICcu09fnsQn4XfN,Favorite Place,Favorite Place,Adande,False,0,0.475,0.734,9,-8.956,0,0.0346,0.62,0.932,0.249,0.0906,114.994,audio_features,spotify:track:6FbEGBOICcu09fnsQn4XfN,https://api.spotify.com/v1/tracks/6FbEGBOICcu09fnsQn4XfN,https://api.spotify.com/v1/audio-analysis/6FbEGBOICcu09fnsQn4XfN,3.782366666666667,4
12LOYGBr0T0IqyuhEILYFh,La clé des champs,La clé des champs,NTO,False,60,0.461,0.526,6,-10.668,1,0.0506,0.00142,0.861,0.108,0.0401,120.011,audio_features,spotify:track:12LOYGBr0T0IqyuhEILYFh,https://api.spotify.com/v1/tracks/12LOYGBr0T0IqyuhEILYFh,https://api.spotify.com/v1/audio-analysis/12LOYGBr0T0IqyuhEILYFh,6.933333333333334,4
6kckNpuM5oXZrObLExRg6d,Brightest Lights,Road,"Lane 8, Arctic Lake",False,63,0.689,0.514,11,-12.803,1,0.0383,0.512,0.449,0.0952,0.0963,121.985,audio_features,spotify:track:6kckNpuM5oXZrObLExRg6d,https://api.spotify.com/v1/tracks/6kckNpuM5oXZrObLExRg6d,https://api.spotify.com/v1/audio-analysis/6kckNpuM5oXZrObLExRg6d,3.967216666666667,4
5HGxLtYxTriF7mMiriSpaz,Bloom,You Were Right,RÜFÜS DU SOL,False,74,0.708,0.793,5,-5.426,0,0.0342,0.0136,0.00221,0.118,0.734,122.006,audio_features,spotify:track:5HGxLtYxTriF7mMiriSpaz,https://api.spotify.com/v1/tracks/5HGxLtYxTriF7mMiriSpaz,https://api.spotify.com/v1/audio-analysis/5HGxLtYxTriF7mMiriSpaz,3.9903,4
7ehBoh9FIeIiEnORzexRZ2,For Every Forever EP,For Every Forever,Mathame,False,48,0.713,0.537,4,-8.741,0,0.0421,0.00237,0.387,0.0856,0.0556,128.034,audio_features,spotify:track:7ehBoh9FIeIiEnORzexRZ2,https://api.spotify.com/v1/tracks/7ehBoh9FIeIiEnORzexRZ2,https://api.spotify.com/v1/audio-analysis/7ehBoh9FIeIiEnORzexRZ2,6.375,4
4BF6tCW6PURgCNfCHOUBDt,How Many Times,How Many Times,"andhim, Elderbrook",False,53,0.613,0.711,11,-6.244,0,0.0694,0.0187,0.0105,0.0759,0.493,121.978,audio_features,spotify:track:4BF6tCW6PURgCNfCHOUBDt,https://api.spotify.com/v1/tracks/4BF6tCW6PURgCNfCHOUBDt,https://api.spotify.com/v1/audio-analysis/4BF6tCW6PURgCNfCHOUBDt,4.174183333333334,4
4rERaNiKlILD603GJvdEvm,Cappadocia,Cappadocia,"Ben Böhmer, Romain Garcia",False,57,0.349,0.685,8,-9.281,1,0.0421,0.0037,0.893,0.122,0.277,123.025,audio_features,spotify:track:4rERaNiKlILD603GJvdEvm,https://api.spotify.com/v1/tracks/4rERaNiKlILD603GJvdEvm,https://api.spotify.com/v1/audio-analysis/4rERaNiKlILD603GJvdEvm,4.701066666666667,4
50MkrUXSXsS1Q1bn95XQcm,The Other Remixes,Sleepless - Stephan Bodzin Remix,"Pan-Pot, Stephan Bodzin",False,1,0.742,0.662,2,-8.149,1,0.0462,0.00022,0.811,0.0869,0.0845,119.991,audio_features,spotify:track:50MkrUXSXsS1Q1bn95XQcm,https://api.spotify.com/v1/tracks/50MkrUXSXsS1Q1bn95XQcm,https://api.spotify.com/v1/audio-analysis/50MkrUXSXsS1Q1bn95XQcm,9.0,4
