id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
7JB29gnUowzSGRdIpeVqRQ,M.A (Remix),M.A - Remix,"BM, Callejero Fino, La Joaqui, Lola Indigo",True,85,0.687,0.735,7,-5.326,1,0.0598,0.183,0.0,0.125,0.681,87.92,audio_features,spotify:track:7JB29gnUowzSGRdIpeVqRQ,https://api.spotify.com/v1/tracks/7JB29gnUowzSGRdIpeVqRQ,https://api.spotify.com/v1/audio-analysis/7JB29gnUowzSGRdIpeVqRQ,4.59315,4
2HobihJS2U722uBEaUJn7h,Un Finde (Remix),Un Finde - Remix,"Maty Deejay, DJ Roma",False,45,0.684,0.572,11,-9.452,1,0.0984,0.0577,0.0,0.0417,0.695,99.981,audio_features,spotify:track:2HobihJS2U722uBEaUJn7h,https://api.spotify.com/v1/tracks/2HobihJS2U722uBEaUJn7h,https://api.spotify.com/v1/audio-analysis/2HobihJS2U722uBEaUJn7h,2.661566666666667,4
5w7RsSgxxBwdVTSyQDj8Bi,DISCOTEKA (feat. Locura Mix),DISCOTEKA (feat. Locura Mix),"The La Planta, BM, Alejo Isakk, Locura Mix",False,78,0.822,0.519,9,-7.183,1,0.136,0.178,0.0,0.0814,0.779,89.962,audio_features,spotify:track:5w7RsSgxxBwdVTSyQDj8Bi,https://api.spotify.com/v1/tracks/5w7RsSgxxBwdVTSyQDj8Bi,https://api.spotify.com/v1/audio-analysis/5w7RsSgxxBwdVTSyQDj8Bi,3.4080166666666667,4
1i0ha7FUidIGfuFI9Dbjc8,Un X100To (Remix),Un X100To - Remix,Emmi Dj,False,49,0.827,0.602,9,-7.827,1,0.107,0.221,1.7e-06,0.0852,0.946,101.974,audio_features,spotify:track:1i0ha7FUidIGfuFI9Dbjc8,https://api.spotify.com/v1/tracks/1i0ha7FUidIGfuFI9Dbjc8,https://api.spotify.com/v1/audio-analysis/1i0ha7FUidIGfuFI9Dbjc8,2.60785,4
1gpayq8BQ8Z1AZSCHUeZOC,Pobre Corazón,Pobre Corazón,"Ke Personajes, Onda Sabanera",False,63,0.463,0.84,10,-4.781,0,0.0475,0.0445,0.0,0.443,0.466,91.038,audio_features,spotify:track:1gpayq8BQ8Z1AZSCHUeZOC,https://api.spotify.com/v1/tracks/1gpayq8BQ8Z1AZSCHUeZOC,https://api.spotify.com/v1/audio-analysis/1gpayq8BQ8Z1AZSCHUeZOC,3.3155166666666664,4
0dQ6s71v3L5gIb2iqCfd8d,En La Intimidad (Remix),En La Intimidad - Remix,"Tomy DJ, DJ Pirata, El Kaio",True,51,0.657,0.769,1,-5.903,1,0.157,0.00742,1.33e-06,0.282,0.923,203.825,audio_features,spotify:track:0dQ6s71v3L5gIb2iqCfd8d,https://api.spotify.com/v1/tracks/0dQ6s71v3L5gIb2iqCfd8d,https://api.spotify.com/v1/audio-analysis/0dQ6s71v3L5gIb2iqCfd8d,2.3137333333333334,4
0jPaNC4praVhSKgPcYWHbd,Jagger.mp3 (Remix),Jagger.mp3 - Remix,Tomy DJ,False,45,0.754,0.754,7,-5.045,0,0.0887,0.417,0.000215,0.163,0.743,101.952,audio_features,spotify:track:0jPaNC4praVhSKgPcYWHbd,https://api.spotify.com/v1/tracks/0jPaNC4praVhSKgPcYWHbd,https://api.spotify.com/v1/audio-analysis/0jPaNC4praVhSKgPcYWHbd,2.5427833333333334,4
1Hs1uUl8o2VtDp1DABFq0O,Los del Espacio,Los del Espacio,"LIT killah, Tiago PZK, Maria Becerra, Duki, Emilia, Rusherking, Big One, FMK",False,89,0.813,0.682,0,-3.598,1,0.0402,0.107,0.0,0.108,0.634,120.011,audio_features,spotify:track:1Hs1uUl8o2VtDp1DABFq0O,https://api.spotify.com/v1/tracks/1Hs1uUl8o2VtDp1DABFq0O,https://api.spotify.com/v1/audio-analysis/1Hs1uUl8o2VtDp1DABFq0O,5.633333333333334,4
1v4ggzkdNysd77L7oJ6GmU,Disfruto,Disfruto,Ke Personajes,False,75,0.662,0.71,1,-5.532,0,0.125,0.0471,0.0,0.124,0.333,81.708,audio_features,spotify:track:1v4ggzkdNysd77L7oJ6GmU,https://api.spotify.com/v1/tracks/1v4ggzkdNysd77L7oJ6GmU,https://api.spotify.com/v1/audio-analysis/1v4ggzkdNysd77L7oJ6GmU,2.1733833333333332,4
5OJgMjwFabXwYE57c4GF2a,Vida Gangster (Remix),Vida Gangster - Remix,Tomy DJ,False,51,0.692,0.521,4,-7.2,0,0.0814,0.292,0.000206,0.103,0.559,95.277,audio_features,spotify:track:5OJgMjwFabXwYE57c4GF2a,https://api.spotify.com/v1/tracks/5OJgMjwFabXwYE57c4GF2a,https://api.spotify.com/v1/audio-analysis/5OJgMjwFabXwYE57c4GF2a,2.454283333333333,4
4WiQA1AGWHFvaxBU6bHghs,DONDE QUIERO ESTAR,PUNTO G,Quevedo,False,86,0.751,0.761,11,-4.113,0,0.15,0.251,0.000238,0.0991,0.553,92.032,audio_features,spotify:track:4WiQA1AGWHFvaxBU6bHghs,https://api.spotify.com/v1/tracks/4WiQA1AGWHFvaxBU6bHghs,https://api.spotify.com/v1/audio-analysis/4WiQA1AGWHFvaxBU6bHghs,2.5220833333333332,4
