id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
5lw8Mgb4LyhriPIC86gV6e,The Lost Boy,RNP (feat. Anderson .Paak),"Cordae, Anderson .Paak",True,69,0.611,0.714,9,-4.696,0,0.856,0.184,0.0,0.145,0.628,196.043,audio_features,spotify:track:5lw8Mgb4LyhriPIC86gV6e,https://api.spotify.com/v1/tracks/5lw8Mgb4LyhriPIC86gV6e,https://api.spotify.com/v1/audio-analysis/5lw8Mgb4LyhriPIC86gV6e,2.9304666666666668,4
2AuU35arXZdYoscOIxHWSc,Encore (Deluxe Version),Rain Man,Eminem,True,57,0.836,0.494,9,-3.506,0,0.253,0.0968,0.0,0.078,0.456,88.04,audio_features,spotify:track:2AuU35arXZdYoscOIxHWSc,https://api.spotify.com/v1/tracks/2AuU35arXZdYoscOIxHWSc,https://api.spotify.com/v1/audio-analysis/2AuU35arXZdYoscOIxHWSc,5.23245,4
1OubIZ0ARYCUq5kceYUQiO,The Divine Feminine,Congratulations (feat. Bilal),"Mac Miller, Bilal",True,80,0.465,0.225,4,-12.637,0,0.0455,0.948,0.00155,0.18,0.207,57.75,audio_features,spotify:track:1OubIZ0ARYCUq5kceYUQiO,https://api.spotify.com/v1/tracks/1OubIZ0ARYCUq5kceYUQiO,https://api.spotify.com/v1/audio-analysis/1OubIZ0ARYCUq5kceYUQiO,4.273783333333333,4
393MDhe62s8hbH8ETrlxe5,Man On The Moon II: The Legend Of Mr. Rager,Mr. Rager,Kid Cudi,False,76,0.671,0.726,7,-8.689,1,0.0272,0.389,0.882,0.14,0.581,102.002,audio_features,spotify:track:393MDhe62s8hbH8ETrlxe5,https://api.spotify.com/v1/tracks/393MDhe62s8hbH8ETrlxe5,https://api.spotify.com/v1/audio-analysis/393MDhe62s8hbH8ETrlxe5,4.903783333333333,4
68Dni7IE4VyPkTOH9mRWHr,2014 Forest Hills Drive,No Role Modelz,J. Cole,True,91,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,audio_features,spotify:track:68Dni7IE4VyPkTOH9mRWHr,https://api.spotify.com/v1/tracks/68Dni7IE4VyPkTOH9mRWHr,https://api.spotify.com/v1/audio-analysis/68Dni7IE4VyPkTOH9mRWHr,4.879983333333334,4
3yfqSUWxFvZELEM4PmlwIR,The Marshall Mathers LP,The Real Slim Shady,Eminem,True,89,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,audio_features,spotify:track:3yfqSUWxFvZELEM4PmlwIR,https://api.spotify.com/v1/tracks/3yfqSUWxFvZELEM4PmlwIR,https://api.spotify.com/v1/audio-analysis/3yfqSUWxFvZELEM4PmlwIR,4.736666666666666,4
7lQ8MOhq6IN2w8EYcFNSUk,The Eminem Show,Without Me,Eminem,True,90,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,audio_features,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/tracks/7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/audio-analysis/7lQ8MOhq6IN2w8EYcFNSUk,4.838666666666667,4
561jH07mF1jHuk7KlaeF0s,Encore (Deluxe Version),Mockingbird,Eminem,True,92,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,audio_features,spotify:track:561jH07mF1jHuk7KlaeF0s,https://api.spotify.com/v1/tracks/561jH07mF1jHuk7KlaeF0s,https://api.spotify.com/v1/audio-analysis/561jH07mF1jHuk7KlaeF0s,4.179333333333333,4
4woTEX1wYOTGDqNXuavlRC,The Eminem Show,Superman,"Eminem, Dina Rae",True,88,0.802,0.755,4,-3.138,0,0.0564,0.0215,0.0,0.295,0.58,130.027,audio_features,spotify:track:4woTEX1wYOTGDqNXuavlRC,https://api.spotify.com/v1/tracks/4woTEX1wYOTGDqNXuavlRC,https://api.spotify.com/v1/audio-analysis/4woTEX1wYOTGDqNXuavlRC,5.838666666666667,4
0jdcdrTpIzIZGBqBvkgEaC,FREELANCE,Maytag (Tax Free),Ben Reilly,True,1,0.465,0.67,1,-6.57,1,0.297,0.0181,0.0,0.519,0.553,83.772,audio_features,spotify:track:0jdcdrTpIzIZGBqBvkgEaC,https://api.spotify.com/v1/tracks/0jdcdrTpIzIZGBqBvkgEaC,https://api.spotify.com/v1/audio-analysis/0jdcdrTpIzIZGBqBvkgEaC,2.7591666666666668,4
