id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
6YU6qWHUjMNm6ZoJJszkHX,Far Away Place (Jody Wisternoff & James Grant Remix),Far Away Place - Jody Wisternoff & James Grant Extended Mix,"Xinobi, James Grant, Jody Wisternoff",False,22,0.68,0.828,9,-9.195,0,0.0342,0.0114,0.691,0.131,0.0389,120.034,audio_features,spotify:track:6YU6qWHUjMNm6ZoJJszkHX,https://api.spotify.com/v1/tracks/6YU6qWHUjMNm6ZoJJszkHX,https://api.spotify.com/v1/audio-analysis/6YU6qWHUjMNm6ZoJJszkHX,7.1795,4
4JnkXaluAkzeFASpfdLAI7,Analogy,Analogy,Stephan Jolk,False,39,0.75,0.617,11,-11.167,0,0.0384,0.0475,0.918,0.114,0.187,123.005,audio_features,spotify:track:4JnkXaluAkzeFASpfdLAI7,https://api.spotify.com/v1/tracks/4JnkXaluAkzeFASpfdLAI7,https://api.spotify.com/v1/audio-analysis/4JnkXaluAkzeFASpfdLAI7,6.673783333333334,4
6GBZK2BV9U4wFuxaQPfTum,Stones,Stones,Rooftime,False,52,0.735,0.523,7,-8.83,0,0.0424,0.318,0.0244,0.139,0.243,116.981,audio_features,spotify:track:6GBZK2BV9U4wFuxaQPfTum,https://api.spotify.com/v1/tracks/6GBZK2BV9U4wFuxaQPfTum,https://api.spotify.com/v1/audio-analysis/6GBZK2BV9U4wFuxaQPfTum,3.119666666666667,4
6mjN72fXeZwLkCDG7rHH3N,Morning Falls EP,After Earth - Edit,Ben Böhmer,False,54,0.595,0.54,5,-10.477,1,0.0347,0.0367,0.903,0.122,0.226,123.0,audio_features,spotify:track:6mjN72fXeZwLkCDG7rHH3N,https://api.spotify.com/v1/tracks/6mjN72fXeZwLkCDG7rHH3N,https://api.spotify.com/v1/audio-analysis/6mjN72fXeZwLkCDG7rHH3N,3.9734333333333334,4
4rk19LvdEjBnsXJC26L5X9,Lost Signal,Lost Signal,Gallago,False,31,0.685,0.737,1,-7.236,1,0.0465,0.000827,0.506,0.0941,0.0501,120.053,audio_features,spotify:track:4rk19LvdEjBnsXJC26L5X9,https://api.spotify.com/v1/tracks/4rk19LvdEjBnsXJC26L5X9,https://api.spotify.com/v1/audio-analysis/4rk19LvdEjBnsXJC26L5X9,4.56545,4
5Vw9GM4cKlfvIKnWmwQlq6,Aba,Aba,"Lane 8, Kidnap",False,34,0.638,0.627,0,-9.644,1,0.0394,0.0412,0.953,0.13,0.0949,122.023,audio_features,spotify:track:5Vw9GM4cKlfvIKnWmwQlq6,https://api.spotify.com/v1/tracks/5Vw9GM4cKlfvIKnWmwQlq6,https://api.spotify.com/v1/audio-analysis/5Vw9GM4cKlfvIKnWmwQlq6,4.557383333333333,4
4KIWzSOgtyUplm6kAvt8Yw,March of the Forest Cat,March of the Forest Cat,Lane 8,False,33,0.864,0.582,8,-10.279,1,0.199,0.429,0.901,0.0998,0.341,124.022,audio_features,spotify:track:4KIWzSOgtyUplm6kAvt8Yw,https://api.spotify.com/v1/tracks/4KIWzSOgtyUplm6kAvt8Yw,https://api.spotify.com/v1/audio-analysis/4KIWzSOgtyUplm6kAvt8Yw,5.2258,4
1dBHO3c71z5NDqqFTKouHc,Reilstreet,Reilstreet,"Ole Biege, Martin Waslewski",False,28,0.692,0.712,9,-9.676,0,0.037,0.002,0.813,0.0876,0.13,122.01,audio_features,spotify:track:1dBHO3c71z5NDqqFTKouHc,https://api.spotify.com/v1/tracks/1dBHO3c71z5NDqqFTKouHc,https://api.spotify.com/v1/audio-analysis/1dBHO3c71z5NDqqFTKouHc,8.92555,4
50MkrUXSXsS1Q1bn95XQcm,The Other Remixes,Sleepless - Stephan Bodzin Remix,"Pan-Pot, Stephan Bodzin",False,0,0.742,0.662,2,-8.149,1,0.0462,0.00022,0.811,0.0869,0.0845,119.991,audio_features,spotify:track:50MkrUXSXsS1Q1bn95XQcm,https://api.spotify.com/v1/tracks/50MkrUXSXsS1Q1bn95XQcm,https://api.spotify.com/v1/audio-analysis/50MkrUXSXsS1Q1bn95XQcm,9.0,4
1Hy3CoHThqF0NBSmkmeR21,Fingerprint,Fingerprint,Lane 8,False,58,0.637,0.821,5,-8.781,0,0.0345,0.00857,0.866,0.154,0.303,123.988,audio_features,spotify:track:1Hy3CoHThqF0NBSmkmeR21,https://api.spotify.com/v1/tracks/1Hy3CoHThqF0NBSmkmeR21,https://api.spotify.com/v1/audio-analysis/1Hy3CoHThqF0NBSmkmeR21,6.739866666666667,4
