id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
6ho0GyrWZN3mhi9zVRW7xi,Losing It,Losing It,FISHER,False,76,0.76,0.964,2,-5.844,1,0.0577,0.00181,0.703,0.0975,0.643,125.003,audio_features,spotify:track:6ho0GyrWZN3mhi9zVRW7xi,https://api.spotify.com/v1/tracks/6ho0GyrWZN3mhi9zVRW7xi,https://api.spotify.com/v1/audio-analysis/6ho0GyrWZN3mhi9zVRW7xi,4.133933333333333,4
46KqQYDqxF2BwAYIDyh7ka,"Mr. Jack Only, Pt. 6","My Neck, My Back",Bruno Coelho,False,0,0.843,0.59,11,-6.012,0,0.091,0.00265,0.0706,0.0736,0.672,124.013,audio_features,spotify:track:46KqQYDqxF2BwAYIDyh7ka,https://api.spotify.com/v1/tracks/46KqQYDqxF2BwAYIDyh7ka,https://api.spotify.com/v1/audio-analysis/46KqQYDqxF2BwAYIDyh7ka,6.19355,4
0JYIClbb9gNrGikFHaleUp,"Karaoke Pop Hits, Vol. 37 (Karaoke Planet)",Barbra Streisand (Original Mix) [Karaoke Version] - Originally Performed By Duck Sauce,A-Type Player,False,0,0.757,0.553,8,-9.276,1,0.0462,0.000668,0.862,0.126,0.262,128.005,audio_features,spotify:track:0JYIClbb9gNrGikFHaleUp,https://api.spotify.com/v1/tracks/0JYIClbb9gNrGikFHaleUp,https://api.spotify.com/v1/audio-analysis/0JYIClbb9gNrGikFHaleUp,4.9724,4
71ide5DBDzwRqq3nLZWuFY,The Hall - EP,See You In the Other Side,Pyramid,False,0,0.572,0.693,5,-9.847,0,0.043,0.00435,0.853,0.117,0.0567,130.083,audio_features,spotify:track:71ide5DBDzwRqq3nLZWuFY,https://api.spotify.com/v1/tracks/71ide5DBDzwRqq3nLZWuFY,https://api.spotify.com/v1/audio-analysis/71ide5DBDzwRqq3nLZWuFY,5.533333333333333,4
6AUuNa26god9LeoprZPEMI,The Horizon,The Horizon,"Marc Leaf, Nick Camaro, Malisha Bleau",False,12,0.713,0.871,8,-4.419,1,0.0327,0.0258,0.0267,0.0876,0.248,126.031,audio_features,spotify:track:6AUuNa26god9LeoprZPEMI,https://api.spotify.com/v1/tracks/6AUuNa26god9LeoprZPEMI,https://api.spotify.com/v1/audio-analysis/6AUuNa26god9LeoprZPEMI,3.581366666666667,4
0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,In My Mind,"Dynoro, Gigi D'Agostino",False,81,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,audio_features,spotify:track:0E9ZjEAyAwOXZ7wJC0PD33,https://api.spotify.com/v1/tracks/0E9ZjEAyAwOXZ7wJC0PD33,https://api.spotify.com/v1/audio-analysis/0E9ZjEAyAwOXZ7wJC0PD33,3.076,4
1NfYpYyKL1JzSThVPIQeIe,Treptow,Joy & Happiness,Daniel Steinberg,False,42,0.887,0.442,11,-9.827,0,0.0911,0.000334,0.554,0.0946,0.873,123.017,audio_features,spotify:track:1NfYpYyKL1JzSThVPIQeIe,https://api.spotify.com/v1/tracks/1NfYpYyKL1JzSThVPIQeIe,https://api.spotify.com/v1/audio-analysis/1NfYpYyKL1JzSThVPIQeIe,6.079766666666667,4
4cWafPsRizm6woL5j4HNTD,(It Happens) Sometimes,(It Happens) Sometimes,Jack Back,False,57,0.833,0.886,11,-6.767,1,0.0573,0.000431,0.00451,0.11,0.604,122.025,audio_features,spotify:track:4cWafPsRizm6woL5j4HNTD,https://api.spotify.com/v1/tracks/4cWafPsRizm6woL5j4HNTD,https://api.spotify.com/v1/audio-analysis/4cWafPsRizm6woL5j4HNTD,3.3712666666666666,4
28bIHoBCkOA2WYIO2NDO5B,The Renegade EP,The Birth,Friend Within,False,16,0.803,0.941,11,-6.528,1,0.0571,0.000422,0.65,0.0607,0.644,124.008,audio_features,spotify:track:28bIHoBCkOA2WYIO2NDO5B,https://api.spotify.com/v1/tracks/28bIHoBCkOA2WYIO2NDO5B,https://api.spotify.com/v1/audio-analysis/28bIHoBCkOA2WYIO2NDO5B,5.703616666666667,4
3AwIwtTUtUgegzVzpnO6k9,Into The Morning,Sides,Kyle Watson,False,0,0.988,0.462,11,-8.726,1,0.158,0.0118,0.414,0.0866,0.31,123.026,audio_features,spotify:track:3AwIwtTUtUgegzVzpnO6k9,https://api.spotify.com/v1/tracks/3AwIwtTUtUgegzVzpnO6k9,https://api.spotify.com/v1/audio-analysis/3AwIwtTUtUgegzVzpnO6k9,5.597716666666667,4
